Customer_ID,Gender,Age,Vintage,Is_Active,City_Category,Customer_Category,Product_Holding_B1,Product_Holding_B2
CC310896,Male,52,16,0,C1,S2,"['P13', 'P20']","['P9', 'P12']"
CC337587,Female,55,16,1,C1,S3,['P21'],['P12']
CC331976,Male,51,18,0,C2,S3,['P11'],['P00']
CC373133,Male,55,25,0,C1,S3,['P17'],['P13']
CC280806,Male,52,13,0,C2,S1,"['P13', 'P17']",['P8']
CC208604,Female,29,28,1,C1,S3,"['P12', 'P13', 'P17']","['P3', 'P8']"
CC253939,Male,36,35,0,C2,S2,['P13'],['P8']
CC396697,Female,29,38,0,C1,S2,['P13'],['P00']
CC241987,Female,27,16,1,C1,S3,"['P13', 'P17', 'P20']","['P8', 'P10', 'P12']"
CC336594,Male,52,11,0,C2,S3,['P11'],['P00']
CC394131,Male,33,34,0,C2,S3,['P13'],['P00']
CC257151,Male,46,15,0,C1,S2,"['P10', 'P16']",['P8']
CC302594,Male,26,24,0,C2,S3,['P16'],['P6']
CC378555,Female,52,13,0,C1,S3,"['P16', 'P17']",['P12']
CC391946,Male,48,25,0,C1,S3,['P13'],['P00']
CC249674,Male,45,16,1,C2,S3,"['P16', 'P21']",['P8']
CC318427,Male,27,13,0,C2,S2,"['P15', 'P16']","['P4', 'P12']"
CC397171,Male,45,32,0,C2,S1,['P13'],['P00']
CC265549,Male,41,31,0,C1,S1,['P13'],['P8']
CC338904,Male,46,19,0,C2,S2,['P11'],['P00']
CC369811,Male,44,18,0,C1,S2,"['P12', 'P13']",['P10']
CC260275,Female,53,14,0,C1,S3,"['P12', 'P13', 'P15']","['P8', 'P10']"
CC388427,Female,37,12,0,C2,S2,['P17'],['P13']
CC370086,Male,29,27,1,C2,S2,['P13'],['P12']
CC378445,Male,27,34,0,C1,S1,"['P13', 'P19']",['P12']
CC296344,Male,40,12,0,C1,S2,"['P8', 'P13']",['P4']
CC306871,Male,33,10,1,C1,S3,['P00'],['P8']
CC228564,Male,53,17,1,C1,S2,"['P6', 'P13']",['P1']
CC375449,Female,32,14,0,C2,S3,"['P13', 'P21']",['P12']
CC316731,Male,50,12,0,C1,S2,['P13'],['P9']
CC336088,Female,37,11,0,C2,S3,['P11'],['P00']
CC395382,Male,33,25,1,C1,S2,['P13'],['P1']
CC386201,Male,31,11,0,C1,S2,['P17'],['P13']
CC243927,Male,30,17,0,C2,S2,"['P12', 'P13', 'P21']","['P4', 'P8', 'P10']"
CC270184,Male,27,14,0,C1,S3,"['P10', 'P12', 'P15', 'P16']","['P1', 'P6', 'P7', 'P8']"
CC355723,Female,31,19,0,C2,S1,"['P13', 'P21']","['P5', 'P10']"
CC388877,Male,55,22,1,C2,S2,['P21'],['P13']
CC375676,Male,52,49,0,C2,S2,"['P13', 'P17']",['P12']
CC203296,Male,29,33,0,C1,S3,"['P12', 'P13', 'P17']","['P3', 'P8']"
CC369600,Male,29,44,0,C2,S1,['P13'],['P12']
CC259681,Female,33,43,0,C2,S2,['P13'],['P7']
CC387543,Female,50,11,0,C2,S3,['P17'],['P16']
CC314445,Male,34,13,0,C2,S2,['P13'],['P9']
CC360510,Male,31,19,0,C1,S2,['P21'],['P13']
CC393851,Male,28,12,0,C2,S2,['P16'],['P00']
CC205918,Male,43,24,1,C1,S2,"['P12', 'P13']","['P3', 'P8']"
CC226894,Male,52,62,1,C2,S3,['P13'],['P8']
CC394387,Female,43,46,0,C1,S1,['P13'],['P00']
CC251304,Female,26,15,0,C1,S2,['P16'],['P8']
CC231353,Male,31,30,1,C2,S2,"['P13', 'P20', 'P21']","['P1', 'P8', 'P12']"
CC235557,Male,35,21,1,C2,S2,"['P8', 'P12', 'P16']","['P6', 'P7']"
CC273095,Male,40,14,0,C2,S3,"['P16', 'P21']","['P8', 'P12']"
CC260697,Male,56,38,1,C2,S3,"['P12', 'P13']",['P8']
CC369767,Male,25,16,1,C2,S3,"['P12', 'P16', 'P21']","['P4', 'P5', 'P10']"
CC297904,Male,35,12,0,C1,S3,"['P16', 'P17']","['P7', 'P8']"
CC209599,Female,48,13,0,C1,S3,['P11'],['P3']
CC396888,Female,38,16,0,C1,S1,['P16'],['P00']
CC244006,Male,34,29,0,C1,S3,"['P12', 'P13', 'P20']","['P6', 'P7', 'P8']"
CC394848,Male,42,27,0,C1,S1,['P13'],['P00']
CC262022,Male,33,48,1,C1,S2,"['P8', 'P13']",['P1']
CC386715,Male,51,12,1,C1,S2,['P17'],['P16']
CC201108,Male,30,24,1,C2,S1,['P13'],['P3']
CC221069,Male,46,21,1,C2,S2,"['P12', 'P13', 'P20']","['P6', 'P8', 'P10']"
CC358289,Male,48,19,0,C1,S2,['P21'],['P16']
CC259515,Female,43,15,0,C1,S3,['P13'],['P8']
CC235835,Male,50,17,0,C1,S3,"['P9', 'P16']",['P8']
CC291230,Male,28,12,0,C1,S2,"['P8', 'P13']",['P1']
CC380925,Male,41,12,0,C1,S3,"['P17', 'P19']",['P16']
CC230303,Female,39,18,0,C2,S2,"['P8', 'P13']",['P7']
CC289612,Female,50,12,0,C1,S3,['P16'],['P6']
CC380892,Male,28,12,1,C1,S2,['P17'],['P13']
CC373730,Male,50,14,0,C1,S3,"['P12', 'P16']",['P4']
CC351989,Male,30,16,0,C1,S3,['P17'],['P11']
CC206971,Male,53,15,1,C1,S3,"['P8', 'P10', 'P12', 'P16']","['P3', 'P4', 'P6', 'P7']"
CC386899,Male,54,12,0,C1,S3,['P17'],['P16']
CC314074,Male,44,13,0,C1,S1,"['P13', 'P19']","['P9', 'P12']"
CC385302,Male,42,11,0,C1,S1,['P17'],['P16']
CC229143,Female,25,17,0,C2,S3,['P16'],['P8']
CC387357,Female,46,11,0,C1,S3,['P17'],['P16']
CC258616,Female,39,15,0,C2,S3,"['P15', 'P16']",['P8']
CC313022,Male,40,14,1,C2,S3,"['P9', 'P13']",['P1']
CC371838,Male,29,15,1,C1,S3,"['P16', 'P21']",['P12']
CC392682,Female,49,33,0,C1,S3,['P13'],['P00']
CC201468,Male,34,28,0,C1,S1,['P13'],['P3']
CC204311,Male,39,20,0,C1,S2,['P13'],['P3']
CC378066,Female,52,13,0,C2,S1,['P13'],['P12']
CC238134,Male,43,19,0,C1,S3,"['P12', 'P17', 'P19']","['P8', 'P9', 'P11']"
CC265779,Male,33,14,0,C1,S1,"['P8', 'P13']","['P6', 'P7']"
CC211431,Male,45,12,1,C2,S3,"['P8', 'P16']",['P3']
CC216915,Female,40,19,0,C1,S1,['P16'],['P8']
CC207334,Male,40,16,0,C1,S2,"['P10', 'P12', 'P13', 'P21']","['P3', 'P4', 'P5']"
CC392249,Male,33,23,0,C2,S3,['P16'],['P00']
CC267643,Male,59,61,0,C1,S2,"['P8', 'P13']",['P7']
CC376235,Male,29,14,0,C2,S3,"['P12', 'P13']",['P10']
CC207394,Female,33,14,0,C2,S3,"['P13', 'P17', 'P21']","['P3', 'P8', 'P12']"
CC223682,Male,49,45,1,C2,S1,"['P7', 'P13']",['P6']
CC391553,Female,36,10,1,C2,S3,['P16'],['P4']
CC388446,Male,58,12,0,C2,S3,['P17'],['P16']
CC376007,Female,28,45,1,C1,S2,"['P13', 'P17']","['P1', 'P12']"
CC302529,Male,28,10,1,C1,S3,"['P8', 'P16']",['P1']
CC382480,Female,32,25,0,C2,S2,['P20'],['P16']
CC233542,Female,25,16,0,C2,S2,['P16'],['P7']
CC394911,Female,27,49,0,C1,S2,['P13'],['P00']
CC205132,Male,46,25,1,C1,S3,"['P12', 'P17', 'P20', 'P21']","['P3', 'P5', 'P7', 'P8']"
CC277133,Male,57,14,0,C1,S3,"['P10', 'P12', 'P16']","['P4', 'P8']"
CC221219,Male,43,24,0,C2,S1,['P13'],['P8']
CC384190,Male,29,12,0,C2,S2,['P17'],['P16']
CC303128,Female,26,11,0,C1,S1,['P16'],['P8']
CC390366,Male,48,11,0,C2,S3,"['P16', 'P21']",['P10']
CC391166,Male,32,10,0,C2,S2,['P16'],['P00']
CC381845,Male,52,12,0,C2,S1,['P17'],['P13']
CC388913,Female,31,59,1,C2,S3,['P17'],['P13']
CC226390,Male,34,17,0,C1,S3,"['P12', 'P13', 'P21']","['P8', 'P10']"
CC381287,Female,27,12,0,C2,S3,['P17'],['P16']
CC350352,Male,28,15,1,C2,S3,['P11'],['P00']
CC385171,Male,25,12,0,C2,S1,"['P17', 'P19']",['P16']
CC384375,Male,58,11,0,C2,S1,['P17'],['P16']
CC380752,Female,59,12,0,C1,S3,"['P13', 'P20']",['P12']
CC376231,Female,29,14,0,C2,S3,"['P12', 'P16']",['P10']
CC231744,Male,28,16,0,C1,S3,['P13'],['P6']
CC202141,Female,44,36,0,C2,S3,"['P13', 'P17', 'P20']","['P3', 'P8', 'P12']"
CC317618,Male,32,35,0,C2,S3,"['P17', 'P20', 'P21']","['P9', 'P12', 'P13']"
CC307795,Male,48,11,0,C2,S2,"['P16', 'P17']",['P8']
CC205896,Male,32,33,1,C1,S3,"['P13', 'P17', 'P21']","['P1', 'P3', 'P8']"
CC395951,Female,47,27,1,C1,S3,['P13'],['P1']
CC367797,Female,55,16,0,C2,S3,"['P16', 'P21']",['P12']
CC268741,Male,27,14,0,C2,S2,"['P8', 'P13']",['P6']
CC374479,Female,58,14,0,C2,S3,"['P16', 'P20']",['P12']
CC370347,Female,52,15,1,C1,S1,"['P13', 'P21']","['P10', 'P12']"
CC241128,Male,49,16,0,C2,S1,['P11'],['P8']
CC394188,Male,47,22,0,C1,S3,['P13'],['P00']
CC199093,Male,29,25,1,C1,S3,"['P3', 'P13']",['P1']
CC378793,Male,46,14,0,C1,S2,"['P13', 'P19']",['P12']
CC336417,Female,29,11,0,C2,S3,['P10'],['P00']
CC229262,Male,34,18,0,C1,S3,"['P12', 'P13', 'P21']","['P4', 'P6', 'P8']"
CC211892,Female,56,10,0,C2,S2,['P13'],['P3']
CC244293,Male,53,23,0,C1,S2,['P16'],['P8']
CC224812,Female,27,26,1,C2,S3,"['P13', 'P20']","['P1', 'P6']"
CC227821,Male,25,17,0,C2,S3,['P13'],['P6']
CC342085,Male,27,15,1,C1,S2,['P11'],['P00']
CC382816,Female,43,12,0,C2,S1,['P19'],['P16']
CC219364,Male,26,18,0,C1,S3,['P13'],['P8']
CC375592,Male,29,14,0,C2,S1,['P13'],['P12']
CC277588,Male,32,24,0,C2,S3,"['P12', 'P16', 'P17']","['P8', 'P9']"
CC396148,Male,29,34,1,C1,S2,['P13'],['P00']
CC377671,Female,31,14,0,C1,S2,"['P16', 'P17']",['P12']
CC393461,Male,37,11,0,C1,S2,['P13'],['P00']
CC386073,Male,46,12,0,C2,S1,"['P17', 'P19']",['P16']
CC380919,Female,35,32,0,C2,S3,['P19'],['P13']
CC330529,Male,25,16,0,C2,S1,['P12'],['P11']
CC395002,Male,30,58,1,C2,S3,['P13'],['P00']
CC374111,Female,32,21,0,C2,S3,['P12'],['P00']
CC247355,Female,28,15,0,C1,S3,"['P12', 'P16', 'P17']","['P6', 'P8']"
CC215441,Male,54,29,1,C2,S2,"['P9', 'P10', 'P12', 'P13']","['P1', 'P4', 'P8']"
CC303529,Male,55,22,1,C2,S3,"['P10', 'P13']",['P8']
CC277132,Male,32,18,0,C2,S1,['P13'],['P8']
CC394523,Male,42,44,0,C2,S1,['P13'],['P1']
CC316341,Male,42,12,0,C1,S3,['P13'],['P9']
CC246328,Female,47,16,0,C1,S1,['P13'],['P8']
CC268363,Male,34,14,0,C2,S1,['P16'],['P8']
CC371882,Female,24,16,0,C1,S2,"['P12', 'P13']",['P4']
CC249214,Male,54,16,0,C2,S3,"['P12', 'P16', 'P17']","['P6', 'P7', 'P8']"
CC264929,Male,35,15,0,C2,S1,['P16'],['P8']
CC397084,Female,29,39,0,C1,S1,['P13'],['P00']
CC382839,Male,46,14,0,C2,S2,['P17'],['P16']
CC259967,Male,29,14,0,C2,S3,['P13'],['P8']
CC387788,Female,28,11,0,C1,S1,['P20'],['P16']
CC278925,Female,26,13,0,C2,S2,"['P12', 'P16']","['P8', 'P10']"
CC272486,Male,55,37,0,C1,S3,"['P8', 'P13']",['P6']
CC208624,Female,53,15,1,C1,S3,"['P10', 'P12', 'P13']","['P3', 'P8']"
CC298425,Male,28,11,0,C1,S1,['P13'],['P6']
CC292529,Female,29,11,0,C1,S1,['P13'],['P7']
CC359811,Male,34,23,1,C1,S1,"['P16', 'P20']",['P1']
CC396662,Male,33,16,0,C2,S3,['P13'],['P00']
CC395826,Male,42,14,1,C2,S3,['P13'],['P1']
CC387914,Male,27,23,0,C1,S2,['P20'],['P13']
CC381197,Male,48,12,0,C2,S3,['P21'],['P16']
CC304970,Male,42,24,0,C2,S2,['P13'],['P7']
CC207452,Male,28,15,0,C2,S3,"['P3', 'P12']",['P2']
CC397418,Male,29,26,1,C1,S3,['P16'],['P00']
CC246636,Male,42,16,0,C1,S3,['P16'],['P8']
CC394464,Male,49,50,0,C1,S3,['P13'],['P00']
CC310196,Male,29,28,0,C2,S1,['P13'],['P9']
CC276958,Male,28,14,0,C2,S2,['P16'],['P8']
CC276989,Female,57,21,0,C1,S2,['P13'],['P8']
CC380869,Female,27,14,0,C1,S2,['P17'],['P13']
CC316904,Male,49,12,0,C1,S2,['P13'],['P9']
CC323340,Female,27,16,0,C1,S2,['P11'],['P00']
CC274516,Male,53,18,0,C1,S3,"['P16', 'P20', 'P21']","['P8', 'P12']"
CC394766,Female,49,38,1,C2,S3,['P13'],['P1']
CC212815,Male,32,19,1,C1,S3,"['P13', 'P17', 'P21']","['P6', 'P8', 'P12']"
CC292179,Male,30,12,0,C2,S3,['P13'],['P8']
CC288487,Female,30,12,0,C1,S3,"['P17', 'P20', 'P21']","['P8', 'P16']"
CC334779,Male,51,11,0,C2,S2,['P20'],['P00']
CC260849,Male,27,15,1,C1,S2,['P13'],['P8']
CC394278,Male,31,12,0,C1,S1,['P13'],['P00']
CC313496,Male,37,15,0,C1,S3,"['P12', 'P13']",['P9']
CC290847,Male,29,13,0,C2,S1,['P13'],['P8']
CC301447,Male,31,11,0,C1,S3,"['P10', 'P16']",['P8']
CC272629,Male,38,14,0,C1,S2,"['P8', 'P13']",['P6']
CC289244,Female,46,12,0,C2,S2,"['P16', 'P20']",['P8']
CC288159,Female,30,12,0,C1,S2,['P13'],['P6']
CC202240,Male,42,24,0,C2,S2,"['P8', 'P13']",['P3']
CC364190,Male,30,17,0,C2,S2,"['P16', 'P21']",['P12']
CC391022,Male,31,10,0,C2,S2,['P00'],['P12']
CC378008,Male,39,21,1,C2,S2,"['P13', 'P17']","['P1', 'P12']"
CC384684,Male,41,11,0,C1,S3,['P17'],['P16']
CC378209,Female,48,14,0,C2,S2,['P16'],['P12']
CC322886,Male,32,13,1,C2,S2,['P20'],['P11']
CC385125,Male,27,12,0,C2,S2,['P17'],['P16']
CC360136,Male,31,19,0,C1,S3,"['P20', 'P21']","['P12', 'P16']"
CC312950,Male,57,14,0,C2,S3,['P13'],['P9']
CC256814,Male,43,15,0,C1,S3,['P13'],['P6']
CC387983,Male,37,21,0,C2,S2,['P13'],['P10']
CC212920,Female,55,39,1,C2,S3,"['P9', 'P10', 'P13']","['P1', 'P8']"
CC395811,Male,27,22,1,C2,S3,['P00'],['P00']
CC272760,Male,34,13,0,C1,S3,"['P16', 'P21']","['P8', 'P12']"
CC269402,Female,41,14,1,C2,S3,"['P12', 'P13', 'P21']","['P8', 'P10']"
CC390983,Female,26,10,0,C1,S3,['P21'],['P16']
CC259763,Female,26,15,0,C1,S1,['P16'],['P6']
CC277100,Female,38,13,0,C2,S3,"['P13', 'P21']","['P8', 'P12']"
CC298871,Female,27,11,0,C1,S3,['P16'],['P8']
CC242178,Male,41,16,0,C2,S3,['P16'],['P8']
CC385319,Male,25,12,0,C2,S3,['P17'],['P16']
CC234540,Male,28,29,1,C2,S3,"['P13', 'P17']","['P8', 'P12']"
CC251189,Female,44,21,1,C1,S3,"['P12', 'P17']","['P8', 'P10']"
CC278535,Male,51,15,1,C2,S3,"['P12', 'P16', 'P21']","['P5', 'P8']"
CC304181,Male,42,10,1,C1,S3,"['P10', 'P16']",['P8']
CC309955,Female,52,10,0,C2,S2,"['P8', 'P16']","['P6', 'P7']"
CC337297,Male,50,13,1,C1,S2,['P11'],['P00']
CC199861,Male,30,28,0,C1,S2,"['P8', 'P13']",['P3']
CC396225,Male,53,16,1,C2,S3,['P13'],['P1']
CC255970,Male,50,16,0,C1,S3,"['P12', 'P13', 'P17']","['P4', 'P8', 'P9']"
CC260602,Female,42,33,0,C2,S3,['P13'],['P8']
CC370279,Female,29,30,1,C1,S2,"['P12', 'P13']","['P1', 'P10']"
CC311750,Female,26,29,0,C2,S3,['P13'],['P9']
CC389122,Female,33,22,0,C1,S2,"['P13', 'P21']",['P4']
CC298242,Female,41,11,0,C1,S3,"['P8', 'P16']","['P6', 'P7']"
CC313935,Male,25,13,0,C2,S1,['P13'],['P9']
CC357360,Male,36,25,1,C2,S2,"['P19', 'P20', 'P21']","['P12', 'P16']"
CC306814,Female,42,10,0,C1,S3,['P16'],['P6']
CC314194,Male,33,13,0,C1,S2,['P00'],['P9']
CC315431,Male,50,13,0,C1,S2,['P13'],['P9']
CC256086,Male,31,15,0,C2,S1,"['P8', 'P16']","['P6', 'P7']"
CC372832,Male,29,25,0,C1,S2,"['P12', 'P16']",['P10']
CC375135,Male,50,14,0,C1,S2,"['P16', 'P17']",['P12']
CC386455,Male,24,12,1,C1,S2,['P17'],['P16']
CC379526,Male,56,13,0,C2,S3,"['P16', 'P19']",['P12']
CC370591,Female,30,16,0,C2,S3,"['P13', 'P21']",['P12']
CC396134,Male,28,17,1,C1,S2,['P13'],['P00']
CC372566,Male,30,58,0,C2,S3,['P13'],['P12']
CC287441,Male,38,12,0,C2,S3,"['P10', 'P13']",['P6']
CC222051,Male,45,18,0,C1,S2,"['P8', 'P13']",['P7']
CC282585,Male,37,13,0,C2,S3,"['P10', 'P12', 'P13']","['P4', 'P8']"
CC377041,Male,59,29,0,C2,S1,"['P13', 'P21']",['P12']
CC239553,Male,46,37,0,C2,S2,['P13'],['P8']
CC282161,Male,30,16,0,C1,S2,"['P13', 'P17']","['P1', 'P8']"
CC362180,Male,34,52,1,C1,S3,"['P13', 'P17']","['P4', 'P12']"
CC386966,Male,34,12,1,C2,S1,['P17'],['P16']
CC377153,Male,53,13,1,C2,S3,"['P16', 'P21']",['P12']
CC351291,Male,33,15,0,C1,S2,['P11'],['P00']
CC222307,Male,57,18,0,C2,S2,"['P13', 'P21']",['P8']
CC387401,Female,31,12,0,C1,S1,['P17'],['P16']
CC314542,Male,47,12,0,C2,S3,"['P13', 'P19']","['P9', 'P12']"
CC253245,Male,31,15,0,C2,S3,"['P12', 'P16', 'P21']","['P5', 'P8', 'P10']"
CC288489,Male,46,13,0,C1,S3,['P13'],['P6']
CC379725,Male,27,13,0,C1,S2,"['P16', 'P19']",['P12']
CC335971,Male,28,11,0,C1,S2,['P2'],['P00']
CC293354,Female,28,12,0,C2,S1,"['P16', 'P17']",['P6']
CC380995,Female,33,12,0,C2,S3,['P13'],['P10']
CC221028,Male,52,18,0,C1,S3,['P13'],['P8']
CC243887,Female,56,16,0,C2,S3,"['P12', 'P16']","['P4', 'P8']"
CC280542,Male,28,13,1,C2,S1,"['P8', 'P13']",['P6']
CC392208,Male,30,34,1,C1,S3,['P13'],['P00']
CC372775,Male,44,14,0,C2,S3,"['P16', 'P21']",['P12']
CC354456,Female,47,17,0,C2,S3,['P2'],['P00']
CC382843,Male,35,12,0,C1,S3,['P19'],['P16']
CC377646,Male,32,13,1,C2,S3,"['P16', 'P21']",['P5']
CC219793,Male,29,31,0,C2,S3,"['P8', 'P13']",['P6']
CC213090,Male,42,18,0,C2,S3,"['P8', 'P13']",['P6']
CC328585,Male,48,12,0,C1,S2,['P11'],['P00']
CC304617,Female,24,33,0,C1,S3,"['P13', 'P17']","['P7', 'P8']"
CC261592,Male,38,15,0,C2,S2,"['P8', 'P13']",['P6']
CC205663,Male,54,16,0,C1,S3,"['P12', 'P13', 'P17']","['P3', 'P6']"
CC373481,Male,48,14,0,C1,S2,"['P16', 'P17']",['P12']
CC316528,Female,41,12,1,C1,S2,['P13'],['P9']
CC395156,Male,27,59,0,C2,S3,['P00'],['P00']
CC219622,Male,24,18,0,C1,S1,['P13'],['P8']
CC276346,Male,27,13,0,C1,S3,['P16'],['P8']
CC381360,Male,28,12,0,C2,S2,['P13'],['P10']
CC389226,Male,31,13,0,C1,S1,['P13'],['P00']
CC366892,Male,37,31,1,C2,S3,"['P12', 'P13']",['P1']
CC262655,Male,26,15,1,C1,S3,"['P13', 'P17', 'P20']","['P8', 'P12']"
CC266721,Female,44,17,1,C1,S3,"['P13', 'P17', 'P20']","['P8', 'P12']"
CC397194,Male,47,24,1,C2,S2,['P13'],['P1']
CC374113,Female,40,14,0,C2,S3,"['P16', 'P21']",['P12']
CC309021,Male,44,10,0,C2,S2,['P16'],['P8']
CC213628,Female,39,28,1,C1,S1,"['P13', 'P19']","['P1', 'P8']"
CC305845,Male,37,10,0,C2,S1,"['P7', 'P13']",['P6']
CC349903,Male,46,15,0,C1,S3,['P11'],['P00']
CC298096,Male,27,13,0,C2,S3,"['P12', 'P13', 'P19']","['P8', 'P9']"
CC355984,Male,52,19,0,C2,S2,"['P13', 'P20']","['P10', 'P12']"
CC369578,Female,29,21,0,C2,S3,"['P16', 'P20']",['P12']
CC372430,Male,30,15,0,C2,S2,['P16'],['P12']
CC389693,Female,55,11,0,C1,S2,['P13'],['P10']
CC370125,Male,35,16,0,C1,S3,"['P12', 'P16', 'P21']","['P4', 'P10']"
CC368732,Male,53,39,0,C1,S3,"['P13', 'P17']",['P12']
CC311333,Male,33,16,0,C1,S2,['P13'],['P9']
CC240162,Male,27,17,0,C1,S1,['P16'],['P8']
CC262843,Female,36,16,0,C2,S1,['P00'],['P2']
CC273457,Male,55,13,0,C1,S3,['P11'],['P8']
CC370681,Female,24,15,0,C1,S1,"['P16', 'P17']",['P12']
CC201118,Female,25,30,0,C1,S3,"['P13', 'P17']","['P3', 'P12']"
CC243809,Female,44,16,0,C2,S1,"['P16', 'P21']","['P8', 'P12']"
CC328540,Female,34,13,1,C2,S3,['P2'],['P00']
CC325503,Male,52,16,0,C2,S3,"['P12', 'P21']",['P11']
CC390547,Male,32,11,0,C1,S2,['P16'],['P00']
CC315271,Male,37,44,0,C1,S2,['P00'],['P9']
CC372794,Male,27,15,0,C1,S2,"['P16', 'P21']","['P10', 'P12']"
CC390670,Male,44,10,0,C1,S3,['P21'],['P16']
CC259602,Female,43,15,0,C1,S2,"['P8', 'P16']",['P7']
CC250775,Female,47,41,1,C2,S2,"['P12', 'P13', 'P17']","['P7', 'P8']"
CC357068,Female,25,23,1,C1,S2,"['P12', 'P16']",['P10']
CC397230,Male,28,26,1,C2,S3,['P13'],['P00']
CC387899,Male,50,11,1,C1,S2,['P20'],['P16']
CC373129,Male,39,15,0,C1,S2,['P16'],['P12']
CC392052,Male,57,22,1,C2,S3,['P13'],['P1']
CC277846,Female,42,13,1,C1,S3,"['P12', 'P16']","['P8', 'P10']"
CC387927,Male,28,11,0,C2,S2,['P19'],['P16']
CC396577,Female,29,21,0,C1,S3,['P13'],['P00']
CC359540,Male,57,22,1,C2,S3,"['P13', 'P20', 'P21']","['P1', 'P12']"
CC254147,Male,56,15,0,C1,S3,"['P12', 'P13']","['P8', 'P10']"
